,time,code,open,close,high,low,volume,money
687836,2015-01-05,000001.XSHE,10.24,10.26,10.43,9.99,446489383.0,4565387776.0
687837,2015-01-06,000001.XSHE,10.15,10.11,10.5,9.96,338159640.0,3453446144.0
687838,2015-01-07,000001.XSHE,9.97,9.92,10.14,9.8,265374121.0,2634796288.0
687839,2015-01-08,000001.XSHE,9.93,9.58,9.97,9.55,219732012.0,2128003456.0
687840,2015-01-09,000001.XSHE,9.55,9.66,10.17,9.42,391555169.0,3835378176.0
687841,2015-01-12,000001.XSHE,9.53,9.46,9.64,9.29,242455266.0,2293104640.0
687842,2015-01-13,000001.XSHE,9.39,9.4,9.55,9.36,127507088.0,1204987136.0
687843,2015-01-14,000001.XSHE,9.47,9.49,9.74,9.42,197147991.0,1889296640.0
687844,2015-01-15,000001.XSHE,9.51,9.83,9.83,9.42,193892038.0,1868795904.0
687845,2015-01-16,000001.XSHE,9.87,9.85,10.01,9.73,242854160.0,2403346176.0
687846,2015-01-19,000001.XSHE,8.98,8.86,9.33,8.86,333586514.0,3016203008.0
687847,2015-01-20,000001.XSHE,8.86,8.86,9.01,8.69,232735020.0,2064280576.0
687848,2015-01-21,000001.XSHE,8.89,9.24,9.35,8.81,302900004.0,2758192640.0
687849,2015-01-22,000001.XSHE,9.19,9.16,9.3,9.07,195897150.0,1801436288.0
687850,2015-01-23,000001.XSHE,9.2,9.23,9.37,9.16,227765671.0,2108746752.0
687851,2015-01-26,000001.XSHE,9.2,9.19,9.25,9.07,165083108.0,1508446592.0
687852,2015-01-27,000001.XSHE,9.19,8.96,9.21,8.86,209083523.0,1881058944.0
687853,2015-01-28,000001.XSHE,8.89,9.01,9.16,8.84,193690243.0,1742175744.0
687854,2015-01-29,000001.XSHE,8.85,8.91,8.98,8.81,158706389.0,1408825344.0
687855,2015-01-30,000001.XSHE,8.92,8.92,9.05,8.82,145183172.0,1298735744.0
687856,2015-02-02,000001.XSHE,8.71,8.73,8.84,8.68,134384060.0,1176949504.0
687857,2015-02-03,000001.XSHE,8.83,8.94,8.96,8.73,137883154.0,1217876608.0
687858,2015-02-04,000001.XSHE,8.97,8.78,8.99,8.78,126062981.0,1122666752.0
687859,2015-02-05,000001.XSHE,9.16,8.83,9.24,8.82,298716556.0,2710523904.0
687860,2015-02-06,000001.XSHE,8.77,8.66,8.94,8.58,160837860.0,1411298560.0
687861,2015-02-09,000001.XSHE,8.65,8.66,8.76,8.47,147753921.0,1273141120.0
687862,2015-02-10,000001.XSHE,8.64,8.82,8.85,8.6,113146771.0,991823744.0
687863,2015-02-11,000001.XSHE,8.83,8.8,8.87,8.76,86529163.0,763414592.0
687864,2015-02-12,000001.XSHE,8.81,8.88,8.91,8.73,95015250.0,838611264.0
687865,2015-02-13,000001.XSHE,8.92,8.94,9.08,8.87,138569019.0,1244514816.0
687866,2015-02-16,000001.XSHE,8.94,8.92,8.98,8.8,112573454.0,999898496.0
687867,2015-02-17,000001.XSHE,8.94,8.96,9.04,8.92,106218850.0,954430208.0
687868,2015-02-25,000001.XSHE,8.99,8.84,9.0,8.82,90125945.0,799193600.0
687869,2015-02-26,000001.XSHE,8.84,9.01,9.02,8.71,160078582.0,1424064896.0
687870,2015-02-27,000001.XSHE,9.01,8.96,9.07,8.94,123869435.0,1115146112.0
687871,2015-03-02,000001.XSHE,8.99,8.99,9.03,8.89,159025390.0,1423603328.0
687872,2015-03-03,000001.XSHE,8.96,8.71,8.96,8.71,165375086.0,1457305088.0
687873,2015-03-04,000001.XSHE,8.73,8.69,8.79,8.65,127210239.0,1108145408.0
687874,2015-03-05,000001.XSHE,8.65,8.57,8.67,8.51,129338052.0,1109152000.0
687875,2015-03-06,000001.XSHE,8.57,8.61,8.66,8.55,86950335.0,748959104.0
687876,2015-03-09,000001.XSHE,8.63,9.07,9.19,8.53,344231944.0,3067985664.0
687877,2015-03-10,000001.XSHE,8.97,8.82,9.05,8.82,216296753.0,1927581952.0
687878,2015-03-11,000001.XSHE,8.83,8.88,9.02,8.83,141005768.0,1258356096.0
687879,2015-03-12,000001.XSHE,9.1,9.35,9.58,9.02,515903330.0,4805590528.0
687880,2015-03-13,000001.XSHE,9.55,9.6,10.0,9.48,493871223.0,4799934976.0
687881,2015-03-16,000001.XSHE,9.67,9.87,9.93,9.56,346284357.0,3387198720.0
687882,2015-03-17,000001.XSHE,9.94,9.87,10.12,9.77,305914365.0,3020408576.0
687883,2015-03-18,000001.XSHE,9.84,9.94,9.98,9.8,285803356.0,2823982848.0
687884,2015-03-19,000001.XSHE,9.92,9.73,9.92,9.69,246671205.0,2413982208.0
687885,2015-03-20,000001.XSHE,9.73,9.81,9.96,9.65,308498064.0,3027315200.0
687886,2015-03-23,000001.XSHE,9.82,9.89,9.97,9.82,278163496.0,2750596608.0
687887,2015-03-24,000001.XSHE,9.89,9.83,9.99,9.75,243376604.0,2396553472.0
687888,2015-03-25,000001.XSHE,9.79,9.55,9.81,9.54,248414384.0,2396613888.0
687889,2015-03-26,000001.XSHE,9.52,9.68,9.88,9.42,232246991.0,2246003712.0
687890,2015-03-27,000001.XSHE,9.67,9.66,9.8,9.52,163527364.0,1577607040.0
687891,2015-03-30,000001.XSHE,9.76,10.03,10.21,9.67,403123660.0,4014724352.0
687892,2015-03-31,000001.XSHE,10.28,10.09,10.63,10.01,426626272.0,4393135104.0
687893,2015-04-01,000001.XSHE,10.14,10.22,10.34,9.96,256507483.0,2608976896.0
687894,2015-04-02,000001.XSHE,10.31,10.12,10.34,10.01,219439060.0,2222670592.0
687895,2015-04-03,000001.XSHE,10.06,10.15,10.21,10.0,223981917.0,2262844416.0
687896,2015-04-07,000001.XSHE,10.35,10.77,10.87,10.35,462104112.0,4898119680.0
687897,2015-04-08,000001.XSHE,10.85,11.48,11.58,10.67,526284828.0,5784459264.0
687898,2015-04-09,000001.XSHE,11.5,11.53,12.2,11.36,495287734.0,5794632192.0
687899,2015-04-10,000001.XSHE,11.53,12.68,12.68,11.44,521377865.0,6339649024.0
687900,2015-04-13,000001.XSHE,13.18,12.83,13.31,12.52,619862683.0,8021096960.0
687901,2015-04-14,000001.XSHE,12.8,12.64,12.8,12.49,318802613.0,4020209664.0
687902,2015-04-15,000001.XSHE,12.64,12.91,13.4,12.49,440690897.0,5746875392.0
687903,2015-04-16,000001.XSHE,12.67,13.18,13.26,12.6,318162030.0,4102824448.0
687904,2015-04-17,000001.XSHE,13.57,13.13,13.57,13.03,336487326.0,4447332864.0
687905,2015-04-20,000001.XSHE,13.26,12.64,13.34,12.53,444509676.0,5776437760.0
687906,2015-04-21,000001.XSHE,12.66,12.84,12.95,12.39,311525154.0,3943356928.0
687907,2015-04-22,000001.XSHE,12.86,13.15,13.17,12.8,357585247.0,4640335872.0
687908,2015-04-23,000001.XSHE,13.17,12.92,13.21,12.84,299114287.0,3893522176.0
687909,2015-04-24,000001.XSHE,12.64,12.52,12.8,12.42,314993799.0,3959606528.0
687910,2015-04-27,000001.XSHE,12.57,12.73,12.87,12.56,317279566.0,4027939328.0
687911,2015-04-28,000001.XSHE,12.76,12.95,13.48,12.58,614239445.0,8014319104.0
687912,2015-04-29,000001.XSHE,12.92,12.91,12.99,12.56,277386904.0,3550493440.0
687913,2015-04-30,000001.XSHE,13.05,12.95,13.39,12.94,372735585.0,4899379712.0
687914,2015-05-04,000001.XSHE,12.95,12.81,12.95,12.63,184079942.0,2351547392.0
687915,2015-05-05,000001.XSHE,12.73,12.3,12.81,12.02,296490682.0,3685372416.0
687916,2015-05-06,000001.XSHE,12.27,12.19,12.64,12.01,251433025.0,3107565568.0
687917,2015-05-07,000001.XSHE,12.19,12.15,12.32,12.02,162305168.0,1968941824.0
687918,2015-05-08,000001.XSHE,12.18,12.29,12.39,12.02,177232069.0,2163108864.0
687919,2015-05-11,000001.XSHE,12.25,12.43,12.5,12.01,273762100.0,3349066752.0
687920,2015-05-12,000001.XSHE,12.39,12.38,12.55,12.14,256557912.0,3166864384.0
687921,2015-05-13,000001.XSHE,12.55,12.32,12.6,12.21,226501408.0,2807445504.0
687922,2015-05-14,000001.XSHE,12.41,12.32,12.45,12.17,185427767.0,2283604736.0
